みぎがわ,4,右側
ひだりがわ,4,左側
まえがわ,4,前側
うしろがわ,4,後側
いる,4,いる,動詞-自立
する,4,する,動詞-自立
くださる,4,くださる,動詞-非自立
がる,4,がる,動詞-接尾
さん,4,さん,名詞-接尾-人名
ずつ,4,ずつ,助詞-副助詞
だけ,4,だけ,助詞-副助詞
ぐらい,4,ぐらい,助詞-副助詞
くらい,4,位,助詞-副助詞
えん,4,円,名詞-接尾-助数詞
や,4,屋,名詞-接尾-一般
かげつ,4,箇月,名詞-接尾-助数詞
かげつ,4,ヶ月,名詞-接尾-助数詞
すぎ,4,過ぎ,名詞-接尾-副詞可能
かい,4,回,名詞-接尾-助数詞
かい,4,階,名詞-接尾-助数詞
がつ,4,月,名詞-接尾-助数詞
こ,4,個,名詞-接尾-助数詞
ご,4,語,名詞-接尾-一般
ころ,4,頃,名詞-*-副詞可能
ごろ,4,頃,名詞-*-副詞可能
さい,4,歳,名詞-接尾-助数詞
さつ,4,冊,名詞-接尾-助数詞
じ,4,時,名詞-接尾-助数詞
とき,4,時,名詞-非自立-副詞可能
じかん,4,時間,名詞-接尾-助数詞
しゅうかん,4,週間,名詞-接尾-助数詞
じん,4,人,名詞-接尾-一般
にん,4,人,名詞-接尾-助数詞
まえ,4,前,名詞-接尾-助数詞
がわ,4,側,名詞-接尾-一般
だい,4,台,名詞-接尾-助数詞
たち,4,達,名詞-接尾-一般
じゅう,4,中,名詞-接尾-副詞可能
ちゅう,4,中,名詞-接尾-副詞可能
ど,4,度,名詞-接尾-助数詞
など,4,等,助詞-副助詞
にち,4,日,名詞-接尾-助数詞
ねん,4,年,名詞-接尾-助数詞
はい,4,杯,名詞-接尾-助数詞
はん,4,半,名詞-接尾-一般
ばん,4,番,名詞-接尾-*
ひき,4,匹,名詞-接尾-助数詞
ふん,4,分,名詞-接尾-助数詞
ほん,4,本,名詞-接尾-助数詞
まい,4,枚,名詞-接尾-助数詞
アパート,4,アパート,
ボールペン,4,ボールペン,
ベッド,4,ベッド,
ボタン,4,ボタン,
バス,4,バス,
バター,4,バター
カレンダー,4,カレンダー
カメラ,4,カメラ
クラス,4,クラス
コピー,4,コピー
カップ,4,カップ
カレー,4,カレー
デパート,4,デパート
ドア,4,ドア
エレベーター,4,エレベーター
フィルム,4,フィルム
フォーク,4,フォーク
グラス,4,グラス
ギター,4,ギター
ハンカチ,4,ハンカチ
ホテル,4,ホテル
ズボン,4,ズボン
キロ,4,キロ
キログラム,4,キログラム
キロメートル,4,キロメートル
ナイフ,4,ナイフ
コーヒー,4,コーヒー
コップ,4,コップ
マッチ,4,マッチ
メートル,4,メートル
ネクタイ,4,ネクタイ
ニュース,4,ニュース
ノート,4,ノート
コート,4,コート
ページ,4,ページ
パン,4,パン
パーティー,4,パーティー
ペン,4,ペン
ペット,4,ペット
ポケット,4,ポケット
プール,4,プール
ポスト,4,ポスト
ラジオ,4,ラジオ
ラジカセ,4,ラジカセ
レコード,4,レコード
レストラン,4,レストラン
シャツ,4,シャツ
シャワー,4,シャワー
スカート,4,スカート
スリッパ,4,スリッパ
スプーン,4,スプーン
スポーツ,4,スポーツ
ストーブ,4,ストーブ
セーター,4,セーター
テーブル,4,テーブル
テープ,4,テープ
テープレコーダー,4,テープレコーダー
タクシー,4,タクシー
テレビ,4,テレビ
テスト,4,テスト
トイレ,4,トイレ
ワイシャツ,4,ワイシャツ
ゼロ,4,ゼロ
ああ,4,ああ
あそこ,4,あそこ
あちら,4,あちら
あっち,4,あっち
あの,4,あの
あの,4,あの
あれ,4,あれ,
いいえ,4,いいえ,
いらっしゃる,4,いらっしゃる,
いらっしゃいませ,4,いらっしゃいませ,2
ええ,4,ええ,
おかし,4,お菓子,
おやすみなさい,4,お休みなさい,3
おやすみなさい,4,おやすみなさい,
おかね,4,お金,
おにいさん,4,お兄さん,2
おさら,4,お皿,2
おねえさん,4,お姉さん,2
おまわりさん,4,お巡りさん,
おちゃ,4,お茶,
おばあさん,4,お婆さん,
おとうさん,4,お父さん,
おなか,4,お腹,
おかあさん,4,お母さん,
おじいさん,4,お爺さん,
こちら,4,こちら,
こちらこそ,4,こちらこそ,2
こっち,4,こっち,
こんな,4,こんな,
さあ,4,さあ,
さす,4,さす,
さよなら,4,さよなら,
さようなら,4,さようなら,
じゃ,4,じゃ,
じゃあ,4,じゃあ,
そうだ,4,そうだ,2
そうです,4,そうです,2
そうして,4,そうして,
そして,4,そして,
そちら,4,そちら
そっち,4,そっち
では,4,では
でも,4,でも
どう,4,どう
どうして,4,どうして
どうぞ,4,どうぞ
どうも,4,どうも
とても,4,とても
どなた,4,どなた
どれ,4,どれ
どんな,4,どんな
はい,4,はい
もう,4,もう
もしもし,4,もしもし
もっと,4,もっと
ゆっくり,4,ゆっくり,,
ゆっくりと,4,ゆっくりと,,
わるい,4,悪い,,
あめ,4,飴,,
やすい,4,安い,,
くらい,4,暗い,,
いみ,4,意味,,
やさしい,4,易しい,,
いす,4,椅子,,
する,4,する,動詞-自立,サ変・スル
なる,4,なる,動詞-自立,
ちがう,4,違う,,
いしゃ,4,医者,,
いち,4,一,,
ひとつ,4,一つ,,
いちいち,4,一々,,
ひとつき,4,一月
おととい,4,一昨日
おととし,4,一昨年
いっしょ,4,一緒
ひとり,4,一人
ちょっと,4,一寸
いったい,4,一体
いちにち,4,一日
ついたち,4,一日
いちばん,4,一番
ひく,4,引く
のみもの,4,飲み物
のむ,4,飲む
みぎ,4,右
あめ,4,雨
えいが,4,映画
えいがかん,4,映画館
およぐ,4,泳ぐ
えいご,4,英語
えき,4,駅
たばこ,4,タバコ
たばこ,4,煙草
とおい,4,遠い
えんぴつ,4,鉛筆
しお,4,塩
きたない,4,汚い
おくさん,4,奥さん
おす,4,押す
よこ,4,横
きいろ,4,黄色
きいろい,4,黄色い
ぬるい,4,温い
おんがく,4,音楽
した,4,下,
ください,4,下さい,
へた,4,下手,
なに,4,何,
なん,4,何,
どの,4,どの,連体詞
なぜ,4,何故,
いつ,4,何時,
いつも,4,いつも,
いつも,4,いつも,2
どこ,4,何処,
どちら,4,何方,
どっち,4,何方,
かわいい,4,可愛い,
なつ,4,夏,
なつやすみ,4,夏休み,
いえ,4,家,
うち,4,家
かぞく,4,家族
かてい,4,家庭
ひま,4,暇
くだもの,4,果物
うた,4,歌
うたう,4,歌う
かようび,4,火曜日
はな,4,花
かびん,4,花瓶
にもつ,4,荷物
あう,4,会う
かいしゃ,4,会社
うみ,4,海
はいざら,4,灰皿
みんな,4,皆
みなさん,4,皆さん
え,4,絵
あく,4,開く
あける,4,開ける
